Program,Ver,Arguments,St.,C,D,Size ,%,C.Time ,%,D.Time ,%,Time,Rating,c/d ,R.S.E.,c/d ,R.R.E.,c/d ,Output ,C.M,D.M
stz,0.8.3,-c2,,8,6,1 497 616 626,45.4,27.16,99,18.31,100,45s,4,6/1,336,366/290,0,0/0,1 497 579 209,6,5
winrar,4.20b3,-m2,,6,8,1 014 478 119,30.7,182.19,241,50.23,94,3m 52s,157,185/57,329,273/529,3,4/1,1 014 297 729,106,8
bsc,2.2.5,-b25 -m1f -p,*,3,17,1 036 287 377,31.4,89.17,366,127.11,367,3m 36s,132,296/18,328,519/195,2,5/0,1 036 196 692,505,505
bsc,2.2.0,-p -m1f,**,1,15,1 036 286 260,31.4,88.73,366,127.58,368,3m 36s,132,297/17,328,522/194,2,5/0,1 036 196 692,505,505
bsc,2.1.5,-p -m1f,*,3,18,1 036 417 533,31.4,89,368,127.19,371,3m 36s,132,296/17,328,520/194,2,5/0,1 036 196 560,505,505
thor,0.96a,e3,,5,10,1 290 413 323,39.1,47.59,99,45.62,100,1m 33s,18,33/3,327,417/232,0,0/0,1 290 373 676,6,6
bsc,2.2.0,-p -m0f -r,*,3,13,1 057 468 659,32,86.34,363,116.34,363,3m 23s,112,241/15,327,500/198,1,3/0,1 057 379 091,504,505
stz,0.8.3,-c,½,4,6,1 548 443 338,46.9,21.84,99,17.67,99,40s,2,4/0,326,384/254,0,0/0,1 548 405 921,6,5
bsc,2.1.5,-p -m0f -R,*,3,14,1 057 599 932,32,85.98,364,116.86,362,3m 23s,111,242/15,326,502/197,1,3/0,1 057 378 959,504,505
bsc,2.0.0,-p -m1f,½,4,18,1 036 416 167,31.4,95.47,380,130.91,389,3m 46s,126,276/17,314,485/189,2,5/0,1 036 195 504,505,505
csc,3.2a2,-m0 -d9,,5,8,884 459 152,26.8,280.37,100,96.83,99,6m 17s,410,509/124,312,274/424,38,47/11,884 369 229,358,325
winrar,4.20b3,-m4,,6,5,920 933 096,27.9,282.78,260,53.2,97,5m 36s,307,336/151,311,241/683,19,21/9,920 752 706,106,9
csc,3.2f,-m1 -d320,*,3,6,846 399 651,25.6,320.52,100,112.17,99,7m 13s,546,679/164,309,272/415,76,95/23,846 326 789,457,327
csc,3.2a2,-m1 -d9,,5,7,870 917 261,26.4,303.86,100,96.56,99,6m 40s,449,546/145,308,265/444,48,58/15,870 827 338,358,325
tornado,0.4a,-6,,9,8,1 020 168 350,30.9,201.25,100,43.01,100,4m  4s,140,157/62,307,243/607,3,3/1,1 020 123 454,58,35
lz4,1,-c2t4,½**,7,0,1 448 504 295,43.9,52.72,387,5.84,166,59s,5,5/4,307,222/1071,0,0/0,1 448 461 634,46,42
tornado,0.4a,-2,,6,7,1 384 735 022,42,40,99,33.65,100,1m 14s,8,14/1,302,362/230,0,0/0,1 384 690 126,12,11
csc,3.2a,-m0 -d9,,6,8,907 908 718,27.5,289.08,100,85.14,99,6m 14s,318,380/109,291,246/446,22,27/8,907 819 929,358,325
csc,3.2a3,-m2 -d9,*,4,4,851 091 794,25.8,367.77,100,86.69,100,7m 34s,493,562/201,290,234/529,65,75/27,851 002 279,422,325
winrar,4.20b3,-m5,½,7,4,920 048 131,27.9,314.27,267,53.09,97,6m  7s,283,306/153,285,217/686,17,19/9,919 867 741,106,9
thor,0.96a,e2,,6,9,1 410 569 275,42.7,35.67,99,36.5,99,1m 12s,6,12/1,283,373/195,0,0/0,1 410 529 628,2,2
csc,3.2a,-m1 -d9,,7,7,895 423 239,27.1,317.25,100,84.97,99,6m 42s,340,398/126,283,233/465,28,32/10,895 334 450,358,325
bsc,2.4.5,-b25 -m2f -p,,5,15,1 023 417 628,31,126.03,372,135.66,367,4m 22s,126,241/19,283,384/190,2,5/0,1 023 326 943,520,505
4x4,0.2a,lzma:32m:ht4:mc16,½**,5,0,857 568 612,26,427.5,339,29.91,323,7m 37s,456,450/543,282,197/1501,56,56/67,857 327 323,376,230
bsc,2.3.0,-b25 -m2f -p,½,4,15,1 023 417 628,31,125.75,373,138.45,369,4m 24s,125,242/19,281,384/186,2,5/0,1 023 326 943,520,505
stz,0.8.3,-c3,,6,6,1 592 308 246,48.3,24.72,100,15,99,40s,1,2/0,280,293/258,0,0/0,1 592 270 829,6,5
bsc,2.4.5,-b25 -m3f -p,,6,12,1 000 393 127,30.3,187.34,374,102.17,368,4m 50s,147,210/33,277,279/273,4,5/1,1 000 302 442,505,506
freearc,0.6,-mex5,½***,1,2,745 137 883,22.6,517.91,304,161.81,138,11m 20s,1070,1295/350,276,236/403,461,558/151,745 064 155,455,191
freearc,0.6,-m3,**,2,4,789 305 317,23.9,452.2,110,142.39,131,9m 55s,749,908/244,272,233/396,197,239/64,789 231 589,390,231
csc,3.2a5,-m3 -d320,*,4,4,847 539 365,25.7,401.91,100,88.66,100,8m 11s,475,535/205,272,216/523,66,74/28,847 487 012,454,325
bsc,2.2.5,-b25 -m2f -p,,6,16,1 023 417 628,31,133.11,371,139.24,369,4m 32s,121,229/18,272,363/185,2,4/0,1 023 326 943,520,505
bsc,2.2.0,-p -m2f,,5,15,1 023 416 511,31,133.81,370,139.19,369,4m 33s,121,227/18,272,361/185,2,4/0,1 023 326 943,520,505
bsc,2.1.5,-p -m2f,,6,17,1 023 547 784,31,132.42,373,140.49,370,4m 33s,121,230/18,272,365/184,2,4/0,1 023 326 811,520,505
csc,3.2a5,-m2 -d4,,5,11,947 148 622,28.7,256.58,100,98.14,100,5m 55s,217,277/61,270,243/339,10,13/3,947 096 269,17,8
pbzip2,1.0.5,,,8,11,1 126 983 940,34.2,145.67,392,49.27,380,3m 15s,54,66/17,269,235/371,0,0/0,1 126 915 571,50,89
tornado,0.4a,-7,,11,7,998 654 618,30.3,265.26,100,42.32,100,5m  8s,141,151/80,262,198/662,4,4/2,998 609 722,107,67
flashzip,0.99b8,-m1 -c4 -b7,,6,11,894 860 760,27.1,293.81,100,142.44,100,7m 16s,316,432/75,261,253/278,26,35/6,894 741 159,319,300
bsc,2.3.0,-b25 -m3f -p,,7,13,1 000 393 127,30.3,187.62,373,121.88,371,5m 10s,138,210/27,259,278/229,3,5/1,1 000 302 442,505,504
bsc,2.0.0,-p -m2f,,7,17,1 023 546 418,31,144.55,384,142.05,389,4m 47s,115,210/18,259,334/182,2,4/0,1 023 325 755,520,505
bsc,2.4.5,-b25 -m3 -pl,½,4,13,977 302 263,29.6,202.76,369,132.5,362,5m 35s,164,251/32,258,278/227,5,8/1,977 211 578,505,506
lzop,1.03,-1,,9,5,1 618 004 068,49,29.62,100,10.37,100,40s,1,1/0,255,225/343,0,0/0,1 617 950 799,2,2
4x4,0.2a,1,,5,8,1 827 736 259,55.4,10.39,318,9.62,293,20s,0,0/0,254,318/184,0,0/0,1 827 494 970,73,50
bsc,2.2.5,-b25 -m3f -p,,8,14,1 000 393 127,30.3,195.02,372,122.08,371,5m 17s,134,202/27,253,268/228,3,5/1,1 000 302 442,505,504
thor,0.96a,e4,,8,12,1 149 441 043,34.8,130.03,100,62.25,100,3m 12s,42,58/10,253,244/272,0,0/0,1 149 401 396,17,16
bsc,2.2.0,-p -m3f,,6,13,1 000 392 010,30.3,195.53,372,123.28,369,5m 19s,134,201/27,251,267/226,3,5/1,1 000 302 442,505,504
lzop,1.03,-5,,10,6,1 622 263 801,49.2,29.81,100,10.45,100,40s,1,1/0,250,220/335,0,0/0,1 622 210 532,2,2
lzp2,91011,,,7,8,1 695 604 852,51.4,17.25,99,14.48,100,32s,1,1/0,248,298/190,0,0/0,1 695 568 673,18,18
bsc,2.3.0,-b25 -m3 -pl,,5,14,977 302 263,29.6,203.22,369,146.8,362,5m 50s,157,250/29,247,277/205,5,8/1,977 211 578,505,504
bsc,1.0.3,-p -m1 -b26,,5,20,1 019 401 220,30.9,135.03,378,171.79,383,5m  7s,112,236/16,245,363/152,2,5/0,1 019 191 709,525,525
csc,3.2a2,-m2 -d9,,5,6,854 594 313,25.9,440,100,94.48,99,8m 54s,403,452/178,244,193/480,51,58/23,854 504 390,422,325
